_id,Program,Project Number,Project Title,Project Description,Area Primary,Area Secondary,Discipline Primary,Discipline Secondary,Round,Approval Date,Lead Research Institution,City,Ontario Commitment,Total Project Costs,Keyword,EXPENDITURE_TYPE,Salutation,First_Name,Middle_Name,Last_Name,OIA_AREA
1445,Ontario Research Fund - Research Infrastructure,28351,Combined in vitro/in vivo Bioimaging Approach for Translational Research in Lung Injury and Repair,"Progressive lung injury and repair characterizes a group of frequent, incurable and often fatal lung diseases. Here, we propose an innovative combination of in vitro and in vivo bioimaging techniques to elucidate cellular mechanisms underlying lung disease, and to identify the basis of new therapies.",4.1,4,41300,15200,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,St. Michael's Hospital,Toronto,"$389,428","$999,384","",Capital,"",Wolfgang,M.,Kuebler,Advanced health technologies
1446,Ontario Research Fund - Research Infrastructure,28381,"Brain plasticity, neuronal and metabolic adaptations","The research program will measure the plastic adaptations of the brain that matches brain energy uptake to local brain activity. Also, the project will study the source of new neurons in the adult brain produced by intense behavioural training.",4,4.9,15100,40600,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,University of Ottawa,Ottawa,"$350,156","$895,392","",Capital,"",Claude,"",Messier,Advanced health technologies
1447,Ontario Research Fund - Research Infrastructure,28412,Laboratory for Interactive Research on Environmental and Policy Change,"This project will integrate natural and social sciences to analyze historical and prehistoric biophysical processes and human-climate interactions; investigate past, current and emergent climate processes and impacts through modeling, traditional environmental knowledge and community-based vulnerability studies; and to generate research for decision-making.",3.10,8.7,13500,21600,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,University of Ottawa,Ottawa,"$115,941","$289,853","",Capital,Dr.,Konrad,"",Gajewski,Bio-economy and clean technologies
1448,Ontario Research Fund - Research Infrastructure,28456,Animal Resources to Support Cardiovascular and Cancer Research,Leading Ontario cardiovascular and cancer research programs require cutting-edge animal resources to enable the next generation of research discoveries. Drs. Gordon Keller and Pamela Ohashi will receive the necessary research tools to continue moving their programs towards pre-clinical phases of research.,4.9,4,15200,42700,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,University Health Network,Toronto,"$396,670","$991,675","",Capital,Dr.,Gordon,"",Keller,Advanced health technologies
1449,Ontario Research Fund - Research Infrastructure,28506,"Interactions between the respiratory sinus arrhythmia and the efficiency of pulmonary gas exchange, cardiac output, muscle oxygen consumption, and heart rate variability during exercise in humans.","The overall goal of the research program, is to identify fundamental mechanisms controlling (or limiting) muscle oxygen utilization in humans during exercise, through non-invasive, integrative exercise physiology research in the area of time-frequency modelling of biological signals recorded in humans during exercise.",4,4.9,14900,12100,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,Nipissing University,North Bay,"$39,386","$98,485","",Capital,"",Graydon,"",Raymer,Advanced health technologies
1450,Ontario Research Fund - Research Infrastructure,28561,Infrastructure for Pediatric Exercise and Environmental Testing and Flow Cytometry Suite,"The research will explain the physical activity-to-health connection, under the principles that physical activity behaviours begin early in life; physical activity is essential for optimal health even in disease; and promotion of physical activity for health is more effective when mechanisms involved are understood.",4,4.2,42800,40600,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,McMaster University,Hamilton,"$350,975","$877,436","",Capital,Dr.,Brian,Weldon,Timmons,Advanced health technologies
1451,Ontario Research Fund - Research Infrastructure,223144,GPU servers for large-scale neural simulation,"This project will install high performance computers that will allow Dr. Eliasmith to build and simulate large-scale models of the brain.  These models will be unique in their combination of size, biological realism, and their ability to explain cognitive function.",4,4.9,5000,12100,Small Infrastructure Fund - Round 022 - 2011 - June,2012-06-18T00:00:00,University of Waterloo,Waterloo,"$23,255","$61,760","",Capital,Dr.,Chris,"",Eliasmith,Advanced health technologies
1452,Ontario Research Fund - Research Infrastructure,223145,Video-on-Demand System to Enhance Research at the University of Waterloo Centre for Mental Health Research,"The funds requested will be used to promote the continued development of facilities for world-class research into the nature and treatment of psychological disorders. The proposed cutting-edge video-on-demand equipment will facilitate collaborative research ventures, enable major scientific advances, and promote innovative psychotherapeutic treatment to the community.",4,4.7,22100,15100,Small Infrastructure Fund - Round 022 - 2011 - June,2012-06-18T00:00:00,University of Waterloo,Waterloo,"$38,398","$95,995","",Capital,Dr.,David,"",Moscovitch,Advanced health technologies
1453,Ontario Research Fund - Research Infrastructure,223146,Automation of trace analysis of emerging contaminants,"A wide variety of emerging contaminants threaten our water resources and therefore the health of our communities and the ecosystems on which we depend. The proposed infrastructure will support the automation of sample extraction, clean-up and preparation of environmental samples for trace analysis of emerging and priority contaminants of concern.  This will enable leading-edge research to support the development of innovative technologies and solutions to manage the risk of these chemicals and complex mixtures in the environment.",3.4,3,14100,14900,Small Infrastructure Fund - Round 022 - 2011 - June,2012-06-18T00:00:00,University of Waterloo,Waterloo,"$100,000","$256,295","",Capital,Dr.,Mark,"",Servos,Bio-economy and clean technologies
1454,Ontario Research Fund - Research Infrastructure,223404,"The Brock Center for Narrative, Visual and Digital Methodologies","The Brock Center for Narrative, Visual, and Digital Methodologies aims to be a provincial and Canadian leader in conducting, analyzing, and training in narrative, visual and digital qualitative research methods in sociology and the dissemination of these knowledge forms to scholarly, policy, and wider publics.",8,8.7,22600,20001,Small Infrastructure Fund - Round 022 - 2011 - June,2012-06-18T00:00:00,Brock University,St.Catharines,"$91,160","$227,900","",Capital,Dr.,Andrea,"",Doucet,Not Applicable
1455,Ontario Research Fund - Research Infrastructure,223844,Infrastructure for comparative analysis of boreal forest dynamics and water use,"To improve our capacity to predict responses of boreal systems to climate change, we must identify both tree stand and tree species responses to environmental variation. The proposed infrastructure will support large forest plot investigations across Canada and sap flow instrumentation to quantify water use in boreal trees.",3.10,6.3,14300,14100,Small Infrastructure Fund - Round 022 - 2011 - June,2012-06-18T00:00:00,Wilfrid Laurier University,Waterloo,"$117,349","$293,372","",Capital,Dr.,Jennifer,Lynn,Baltzer,Not Applicable
1456,Ontario Research Fund - Research Infrastructure,224224,High content and high throughput technologies for studying cellular functions,"The requested infrastructure will provide Dr. Daniela Rotin and her team with the necessary resources and equipment to further her groundbreaking research into the regulation and function of transmembrane proteins by two important cellular mechanisms: ubiquitination and reversible phosphorylation. Ubiquitination serves to target proteins for degradation or other cellular fates, while reversible phosphorylation, the addition or removal of a phosphate (PO4) group from proteins by kinases (phosphorylation) and phosphatases (dephosphorylation) of many enzymes and receptors, functions as an ""on"" or ""off"" switch. Dysfunction of these processes can lead to diverse human diseases such as hypertension, cystic fibrosis (CF), inflammatory bowel disease and cancer – something which high-content imaging can help decode by uncovering the cellular mechanisms behind these diseases.",4,4.1,14700,14800,Small Infrastructure Fund - Round 022 - 2011 - June,2012-06-18T00:00:00,The Hospital for Sick Children,Toronto,"$80,890","$202,225","",Capital,Dr.,Daniela,"",Rotin,Digital media and information and communications technologies
1457,Ontario Research Fund - Research Infrastructure,224884,Consumer Research Laboratory,"Using an inter-disciplinary approach, the research will examine barriers to the adoption of new convergent or counter-stereotypical products that disrupt conventional categories and propose marketing strategies to overcome these barriers.",8.3,7.6,22300,22100,Small Infrastructure Fund - Round 022 - 2011 - June,2012-06-18T00:00:00,Wilfrid Laurier University,Waterloo,"$38,466","$96,165","",Capital,Dr.,Tripat,"",Gill,Not Applicable
